trajets;classe1;classe2;classe3;payage moyen;distance;cout investissement;net annuel par tarrification
MARRAKECH PALMERAI-MARRAKECH TAMANSOURT;11;16;20;16;10;294;78
MARRAKECH PALMERAI-MARRAKECH TARGA;19;28;34;27;17;506;135
MARRAKECH PALMERAI-LOUDAYA;26;39;48;38;24;706;188
MARRAKECH PALMERAI-CHICHAOUA;38;62;75;58;36;1094;292
MARRAKECH PALMERAI-IMIN TANOUTE;49;81;97;76;47;1419;378
MARRAKECH PALMERAI-ARGANA;73;122;147;114;71;2138;570
MARRAKECH PALMERAI -BPV AMSKROUD;91;152;182;142;89;2656;708
MARRAKECH TAMANSOURT-MARRAKECH TARGA;8;12;15;12;7;219;58
MARRAKECH TAMANSOURT-LOUDAYA;15;23;28;22;14;413;110
MARRAKECH TAMANSOURT-CHICHAOUA;27;46;55;43;27;800;213
MARRAKECH TAMANSOURT-IMIN TANOUTE;38;64;78;60;38;1125;300
MARRAKECH TAMANSOURT-ARGANA;62;106;127;98;61;1844;492
MARRAKECH TAMANSOURT-BPV AMSKROUD;80;135;163;126;79;2363;630
MARRAKECH TARGA-LOUDAYA;8;12;15;12;7;219;58
MARRAKECH TARGA-CHICHAOUA;19;32;38;30;19;556;148
MARRAKECH TARGA-IMIN TANOUTE;32;54;65;50;31;944;252
MARRAKECH TARGA-ARGANA;52;90;108;83;52;1563;417
MARRAKECH TARGA-BPV AMSKROUD;72;122;147;114;71;2131;568
LOUDAYA-CHICHAOUA;12;21;25;19;12;363;97
LOUDAYA-IMIN TANOUTE;23;39;48;37;23;688;183
LOUDAYA-ARGANA;45;76;92;71;44;1331;355
LOUDAYA-BPV AMSKROUD;66;111;134;104;65;1944;518
CHICHAOUA-IMINTANOUT;12;21;25;19;12;363;97
CHICHAOUA-ARGANA;33;56;67;52;33;975;260
CHICHAOUA-BPV AMSKROUD;51;87;105;81;51;1519;405
IMINTANOUT-ARGANA;21;35;42;33;20;613;163
IMINTANOUT-BPV AMSKROUD;39;67;80;62;39;1163;310
ARGANA-BPV AMSKROUD;19;32;38;30;19;556;148
AGADIR-ECHANGEUR AMSKROUD 1;4;8;10;7;5;138;37
ECHANGEUR AMSKROUD 2-AGADIR;4;8;10;7;5;138;37
CASABLANCA-HAD SOUALEM;8;12;15;12;7;219;58
CASABLANCA-BIR JDID;13;21;26;20;13;375;100
CASABLANCA-TNIN CHTOUKA;20;30;37;29;18;544;145
CASABLANCA-AZEMMOUR;27;41;50;39;25;738;197
CASABLANCA-EL JADIDA;30;47;58;45;28;844;225
CASABLANCA-EL JADIDA SUD;34;54;66;51;32;963;257
CASABLANCA-JORF LASFAR;40;63;78;60;38;1131;302
CASABLANCA-SIDI ISMAIL;50;79;97;75;47;1413;377
CASABLANCA-OUALIDIA;65;103;126;98;61;1838;490
CASABLANCA-SAFI NORD;76;120;147;114;71;2144;572
CASABLANCA-SAFI;80;126;156;121;75;2263;603
HAD SOUALEM-BIR JDID;6;10;13;10;6;181;48
HAD SOUALEM-TNIN CHOUKA;12;19;24;18;11;344;92
HAD SOUALEM-AZEMMOUR;18;28;35;27;17;506;135
HAD SOUALEM-EL JADIDA;24;36;45;35;22;656;175
HAD SOUALEM-EL JADIDA SUD;27;42;52;40;25;756;202
HAD SOUALEM-JORF LASFAR;32;51;62;48;30;906;242
HAD SOUALEM-SIDI ISMAIL;42;66;82;63;40;1188;317
